index,title,url,text_length,tokens_processed,reward,processing_time_ms,timestamp,num_tokens
73,King of the Dead,https://en.wikipedia.org/?curid=14016807,345,94,1.0,100.90970993041992,2025-11-15T13:34:59.406814,94
74,Canoabo,https://en.wikipedia.org/?curid=77741835,288,65,1.0,100.94285011291504,2025-11-15T13:34:59.508085,65
75,Japan National Route 8,https://en.wikipedia.org/?curid=4913681,2144,583,1.0,101.85050964355469,2025-11-15T13:34:59.610305,583
76,Stefon,https://en.wikipedia.org/?curid=30634700,16672,448,1.0,102.11491584777832,2025-11-15T13:34:59.712862,448
77,Eastern Argus,https://en.wikipedia.org/?curid=63727629,1304,265,1.0,101.49836540222168,2025-11-15T13:34:59.814821,265
78,Hototogisu (magazine),https://en.wikipedia.org/?curid=36566484,2392,548,1.0,101.79853439331055,2025-11-15T13:34:59.916955,548
79,Margarete Kupfer,https://en.wikipedia.org/?curid=35933755,274,78,1.0,100.87180137634277,2025-11-15T13:35:00.018221,78
80,1992 Italian general election in Sardinia,https://en.wikipedia.org/?curid=21622919,318,65,1.0,100.81005096435547,2025-11-15T13:35:00.119294,65
81,1956 French Togoland autonomy referendum,https://en.wikipedia.org/?curid=29548517,800,157,1.0,100.97384452819824,2025-11-15T13:35:00.220584,157
82,Tamagotchi (Omar Apollo song),https://en.wikipedia.org/?curid=72852409,3057,471,1.0,101.99093818664551,2025-11-15T13:35:00.322874,471
83,Turkana Central Constituency,https://en.wikipedia.org/?curid=26446722,220,41,1.0,100.90041160583496,2025-11-15T13:35:00.424098,41
84,2025–26 PBA season,https://en.wikipedia.org/?curid=79201386,7497,416,1.0,101.6550064086914,2025-11-15T13:35:00.526017,416
85,Tau Orionis,https://en.wikipedia.org/?curid=13134226,1950,559,1.0,102.01358795166016,2025-11-15T13:35:00.628347,559
86,William Lee Scott,https://en.wikipedia.org/?curid=2820830,1261,292,1.0,101.47500038146973,2025-11-15T13:35:00.730101,292
87,"Sir John Hopkins, 1st Baronet",https://en.wikipedia.org/?curid=46429019,695,160,1.0,101.14479064941406,2025-11-15T13:35:00.831522,160
88,Chip Banks,https://en.wikipedia.org/?curid=2427814,1874,386,1.0,101.81784629821777,2025-11-15T13:35:00.933639,386
89,Anthony Pleeth,https://en.wikipedia.org/?curid=6935907,1861,423,1.0,101.84121131896973,2025-11-15T13:35:01.035789,423
90,Hovgaard Islands,https://en.wikipedia.org/?curid=17687230,571,144,1.0,100.80647468566895,2025-11-15T13:35:01.136937,144
91,HIST1H2BK,https://en.wikipedia.org/?curid=14763737,751,215,1.0,101.06635093688965,2025-11-15T13:35:01.238351,215
92,Jim (book),https://en.wikipedia.org/?curid=79675898,1772,404,1.0,101.75442695617676,2025-11-15T13:35:01.340413,404
93,"St Olaf's Church, Wasdale",https://en.wikipedia.org/?curid=2114685,2419,463,1.0,102.09894180297852,2025-11-15T13:35:01.442894,463
94,Le Sueur (surname),https://en.wikipedia.org/?curid=39564995,1918,496,1.0,101.96876525878906,2025-11-15T13:35:01.545308,496
95,Men in White (TV series),https://en.wikipedia.org/?curid=12776105,296,82,1.0,100.97694396972656,2025-11-15T13:35:01.646708,82
96,Stanley Glacier,https://en.wikipedia.org/?curid=28809147,630,132,1.0,100.91567039489746,2025-11-15T13:35:01.747997,132
97,Grace Bussell,https://en.wikipedia.org/?curid=8511326,3755,466,1.0,101.93586349487305,2025-11-15T13:35:01.850338,466
98,2015 Chrono des Nations,https://en.wikipedia.org/?curid=57174781,240,54,1.0,100.85058212280273,2025-11-15T13:35:01.951459,54
99,Maths Mansion,https://en.wikipedia.org/?curid=30463148,2715,474,1.0,102.01573371887207,2025-11-15T13:35:02.053774,474
100,Kanaighat Upazila,https://en.wikipedia.org/?curid=9495597,5963,505,1.0,102.0512580871582,2025-11-15T13:35:02.156214,505
101,Boris Eidelmann,https://en.wikipedia.org/?curid=76407408,1801,409,1.0,101.76301002502441,2025-11-15T13:35:02.260948,409
102,"River Calder, Cumbria",https://en.wikipedia.org/?curid=6964719,699,156,1.0,101.0286808013916,2025-11-15T13:35:02.362282,156
103,Olavi Mannonen,https://en.wikipedia.org/?curid=36257894,658,144,1.0,100.97074508666992,2025-11-15T13:35:02.463630,144
104,"1878 lynchings in Posey County, Indiana",https://en.wikipedia.org/?curid=70564880,4162,463,1.0,101.79400444030762,2025-11-15T13:35:02.565731,463
105,Dennison School House,https://en.wikipedia.org/?curid=21963103,1690,350,1.0,101.7920970916748,2025-11-15T13:35:02.667834,350
106,High-field domain,https://en.wikipedia.org/?curid=39198232,9988,372,1.0,101.65238380432129,2025-11-15T13:35:02.769873,372
